import time: self [us] | cumulative | imported package
import time:       404 |        404 |                   pandas._libs.tslibs.vectorized
import time:       256 |      20047 |                 pandas._libs.tslibs
import time:        20 |      20067 |               pandas._libs.tslibs.nattype
import time:       262 |        262 |               pandas._libs.ops_dispatch
import time:       542 |      20870 |             pandas._libs.missing
import time:       814 |      21683 |           pandas._libs.hashtable
import time:       588 |        588 |           pandas._libs.algos
import time:       553 |      22824 |         pandas._libs.interval
import time:       202 |      23705 |       pandas._libs
import time:       206 |        206 |         pandas.core.dtypes
import time:       742 |        742 |         pandas._libs.lib
import time:       473 |        473 |         pandas.errors
import time:       360 |        360 |           pandas.core.dtypes.generic
import time:       326 |        686 |         pandas.core.dtypes.base
import time:       230 |        230 |         pandas.core.dtypes.inference
import time:      1266 |       3600 |       pandas.core.dtypes.dtypes
import time:       285 |        285 |         pandas.core.dtypes.common
import time:       328 |        613 |       pandas.core.dtypes.missing
import time:       273 |        273 |         pandas.util._decorators
import time:       202 |        202 |             pandas.io
import time:       272 |        473 |           pandas.io._util
import time:       439 |        912 |         pandas.core.dtypes.cast
import time:       188 |        188 |           pandas.core.dtypes.astype
import time:       209 |        397 |         pandas.core.dtypes.concat
import time:       170 |        170 |           pandas.core.array_algos
import time:      3991 |       3991 |               numpy.ma.core
import time:       791 |        791 |               numpy.ma.extras
import time:       276 |       5057 |             numpy.ma
import time:       337 |        337 |             pandas.core.common
import time:       276 |       5669 |           pandas.core.construction
import time:       381 |       6218 |         pandas.core.array_algos.take
import time:       295 |        295 |           pandas.core.indexers.utils
import time:       247 |        541 |         pandas.core.indexers
import time:       558 |       8897 |       pandas.core.algorithms
import time:      3252 |       3252 |               pyarrow._compute
import time:       336 |        336 |               pyarrow._compute_docstrings
import time:       182 |        182 |               pyarrow.vendored
import time:       470 |        470 |                   pkgutil
import time:       263 |        263 |                     _pyrepl
import time:       375 |        638 |                   _pyrepl.pager
import time:      1251 |       2357 |                 pydoc
import time:       317 |        317 |                 copy
import time:      1157 |       3830 |               pyarrow.vendored.docscrape
import time:     14096 |      21693 |             pyarrow.compute
import time:       342 |      22035 |           pandas.core.arrays.arrow.accessors
import time:       590 |        590 |             unicodedata
import time:       291 |        291 |             pandas.util._validators
import time:       357 |        357 |             pandas.core.missing
import time:       426 |        426 |                 pandas._libs.ops
import time:       167 |        167 |                 pandas.core.roperator
import time:       181 |        181 |                 pandas.core.computation
import time:       325 |        325 |                   pandas.core.computation.check
import time:       306 |        631 |                 pandas.core.computation.expressions
import time:       149 |        149 |                 pandas.core.ops.missing
import time:       155 |        155 |                 pandas.core.ops.dispatch
import time:       140 |        140 |                 pandas.core.ops.invalid
import time:       407 |       2254 |               pandas.core.ops.array_ops
import time:       170 |        170 |               pandas.core.ops.common
import time:       179 |        179 |               pandas.core.ops.docstrings
import time:       138 |        138 |               pandas.core.ops.mask_ops
import time:       240 |       2979 |             pandas.core.ops
import time:       311 |        311 |             pandas.core.arraylike
import time:       206 |        206 |             pandas.core.arrays._arrow_string_mixins
import time:       154 |        154 |             pandas.core.arrays._utils
import time:       358 |        358 |               pandas.compat.numpy.function
import time:       195 |        195 |               pandas.core.array_algos.quantile
import time:       257 |        257 |               pandas.core.sorting
import time:       721 |       1530 |             pandas.core.arrays.base
import time:       708 |        708 |               pandas.core.nanops
import time:       172 |        172 |               pandas.core.array_algos.masked_accumulations
import time:       166 |        166 |               pandas.core.array_algos.masked_reductions
import time:       143 |        143 |                 pandas.core.util
import time:       389 |        389 |                 pandas._libs.hashing
import time:       265 |        796 |               pandas.core.util.hashing
import time:       655 |       2495 |             pandas.core.arrays.masked
import time:       310 |        310 |               pandas._libs.arrays
import time:       348 |        348 |                 pandas.core.arrays.numeric
import time:       243 |        591 |               pandas.core.arrays.floating
import time:       266 |        266 |               pandas.core.arrays.integer
import time:       157 |        157 |                   pandas.core.array_algos.transforms
import time:       383 |        540 |                 pandas.core.arrays._mixins
import time:       171 |        171 |                   pandas.core.strings
import time:       418 |        418 |                   pandas.core.strings.base
import time:       402 |        990 |                 pandas.core.strings.object_array
import time:       307 |       1836 |               pandas.core.arrays.numpy_
import time:       378 |       3379 |             pandas.core.arrays.string_
import time:       237 |        237 |               pandas.tseries
import time:       406 |        642 |             pandas.tseries.frequencies
import time:      1135 |      14065 |           pandas.core.arrays.arrow.array
import time:       277 |      36375 |         pandas.core.arrays.arrow
import time:       268 |        268 |         pandas.core.arrays.boolean
import time:       417 |        417 |           pandas.core.accessor
import time:       482 |        482 |           pandas.core.base
import time:       195 |        195 |           pandas.io.formats
import time:       230 |        230 |           pandas.io.formats.console
import time:       718 |       2040 |         pandas.core.arrays.categorical
import time:       534 |        534 |           pandas._libs.tslib
import time:       187 |        187 |             pandas.core.array_algos.datetimelike_accumulations
import time:       914 |       1100 |           pandas.core.arrays.datetimelike
import time:       215 |        215 |           pandas.core.arrays._ranges
import time:       181 |        181 |           pandas.tseries.offsets
import time:       519 |       2548 |         pandas.core.arrays.datetimes
import time:       480 |        480 |           pandas.core.arrays.timedeltas
import time:      1100 |       1580 |         pandas.core.arrays.interval
import time:       471 |        471 |         pandas.core.arrays.period
import time:       462 |        462 |               pandas._libs.sparse
import time:       347 |        347 |               pandas.io.formats.printing
import time:       546 |       1354 |             pandas.core.arrays.sparse.array
import time:       339 |       1693 |           pandas.core.arrays.sparse.accessor
